date,revenue
09-11-2014,261.96
09-11-2014,731.94
13-06-2014,14.62
06-12-2014,407.976
10-12-2014,19.46
10-12-2014,60.34
16-01-2014,11.648
16-01-2014,90.57
09-12-2014,1097.544
09-12-2014,190.92
18-07-2014,77.88
12-03-2014,45.98
12-03-2014,17.46
21-06-2014,45
21-06-2014,21.8
12-12-2014,15.26
12-12-2014,1029.95
18-06-2014,208.56
18-06-2014,32.4
18-06-2014,319.41
18-06-2014,14.56
18-06-2014,30
18-06-2014,48.48
18-06-2014,1.68
05-06-2014,75.88
19-09-2014,4.616
13-06-2014,208.16
13-06-2014,16.74
06-04-2014,158.368
18-09-2014,20.1
18-09-2014,73.584
18-09-2014,6.48
07-09-2014,77.88
30-08-2014,64.624
30-08-2014,95.976
30-08-2014,1.788
02-12-2014,23.92
04-11-2014,75.96
04-11-2014,27.24
13-06-2014,47.04
13-06-2014,30.84
13-06-2014,226.56
13-06-2014,115.02
13-06-2014,68.04
07-11-2014,81.424
07-11-2014,238.56
14-10-2014,20.04
14-10-2014,35.44
14-10-2014,11.52
14-10-2014,4.02
14-10-2014,76.176
14-10-2014,65.88
14-10-2014,43.12
06-09-2014,82.8
06-12-2014,384.45
06-12-2014,149.97
06-12-2014,1951.84
06-12-2014,171.55
14-03-2014,157.92
14-03-2014,203.184
21-11-2014,14.62
21-11-2014,944.93
12-05-2014,5.98
17-11-2014,28.4
08-11-2014,27.68
29-11-2014,7.16
17-07-2014,37.224
17-07-2014,20.016
29-10-2014,93.06
29-10-2014,302.376
05-06-2014,25.92
05-06-2014,419.68
05-06-2014,11.688
05-06-2014,31.984
05-06-2014,177.225
05-06-2014,4.044
05-06-2014,7.408
11-12-2014,321.568
12-09-2014,7.61
12-09-2014,3347.37
11-12-2014,80.58
11-12-2014,361.92
07-06-2014,328.224
22-01-2014,7.56
19-12-2014,254.058
19-12-2014,194.528
19-12-2014,961.48
21-11-2014,19.096
21-11-2014,18.496
21-11-2014,255.984
21-11-2014,86.97
29-10-2014,32.4
29-10-2014,1082.48
29-10-2014,56.91
29-10-2014,77.6
29-10-2014,14.28
13-09-2014,15.136
13-09-2014,466.768
13-09-2014,15.232
13-09-2014,6.264
24-04-2014,251.52
24-04-2014,99.99
31-08-2014,290.898
31-08-2014,54.224
31-08-2014,786.744
31-08-2014,100.24
31-08-2014,37.764
26-04-2014,82.8
26-04-2014,20.724
26-04-2014,4.896
02-09-2014,6.79
02-09-2014,24.56
02-09-2014,3.048
02-09-2014,49.12
02-09-2014,4355.168
09-04-2014,388.704
09-04-2014,8.26
09-04-2014,17.04
09-04-2014,34.4
24-04-2014,36.24
22-10-2014,23.2
22-10-2014,7.36
22-10-2014,104.79
22-10-2014,1043.92
29-09-2014,99.136
29-10-2014,50.96
29-10-2014,49.536
09-09-2014,35.952
09-09-2014,2396.2656
09-09-2014,131.136
09-09-2014,57.584
15-04-2014,383.8
16-04-2014,189.588
16-04-2014,408.744
16-04-2014,291.96
16-04-2014,4.768
07-06-2014,714.3
13-06-2014,1007.979
13-06-2014,313.488
